Status_Rawan,Pendidikan_KRT,KRT_Rawan,Penerima_Transfer,Aset_Tanah,Akses_Internet,Sakit_Namun_Tidak_Rawat_Jalan,PKH,KKS,BPNT,Bantuan_Pemda,BPJS,Jamkesda,KIP,PIP,Jenis_Atap,Jenis_Lantai,Jenis_Dinding,Luas_Lantai,Listrik,Bahan_Bakar_Masak,Sumber_Air_Minum,Air_Minum_Layak,Sanitasi_Layak,Jenis_Kelamin_KRT,Umur_KRT,Status_Bekerja_KRT,ART,ART014,Buta_Huruf,Perokok,Status_Bangunan,Tabungan,Status_Daerah,Akses_KUR
Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,90,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,38,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Milik sendiri,2 atau lebih,Kota,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,75,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Laki-Laki,46,Ya,4,1,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,108,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,52,Ya,5 atau lebih,2,Tidak Ada,Tidak Ada,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,28,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Laki-Laki,50,Ya,4,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,2 atau lebih,Desa,Ya
Rawan,SMA,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,65,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,34,Ya,4,2,Tidak Ada,1,Kontrak/sewa,Tidak Ada,Kota,Tidak
Rawan,Tidak Sekolah,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,40,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Perempuan,59,Ya,1,Tidak Ada,Tidak Ada,1,Kontrak/sewa,Tidak Ada,Desa,Tidak
Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,96,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Perempuan,56,Ya,3,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,170,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,45,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Kontrak/sewa,2 atau lebih,Desa,Tidak
Rawan,SMA,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,60,Listrik,LPG 3Kg,Leding,Ya,Tidak,Laki-Laki,23,Ya,3,1,Tidak Ada,1,Milik sendiri,Tidak Ada,Desa,Tidak
Rawan,SMA,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,35,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,31,Ya,4,2,Tidak Ada,Tidak Ada,Milik sendiri,1,Desa,Tidak
Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,50,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,66,Ya,4,1,Tidak Ada,1,Milik sendiri,2 atau lebih,Kota,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,42,Listrik,Minyak tanah,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,69,Ya,3,Tidak Ada,Tidak Ada,1,Milik sendiri,1,Kota,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,80,Listrik,LPG 3Kg,Leding,Ya,Ya,Laki-Laki,53,Ya,2,Tidak Ada,Tidak Ada,1,Milik sendiri,1,Kota,Tidak
Tidak Rawan,SD,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,30,Listrik,Kayu Bakar,Lainnya,Tidak,Ya,Laki-Laki,31,Ya,3,1,Tidak Ada,Tidak Ada,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,22,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Laki-Laki,44,Ya,4,1,Tidak Ada,1,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,240,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,55,Ya,4,Tidak Ada,Tidak Ada,2 atau lebih,Milik sendiri,1,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,56,Listrik,LPG 3Kg,Sumur bor/pompa,Tidak,Tidak,Perempuan,53,Ya,3,Tidak Ada,Tidak Ada,2 atau lebih,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,84,Listrik,LPG 3Kg,Lainnya,Ya,Tidak,Laki-Laki,44,Ya,3,Tidak Ada,Tidak Ada,1,Kontrak/sewa,Tidak Ada,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,102,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,46,Ya,3,1,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,42,Listrik,Kayu Bakar,Lainnya,Ya,Tidak,Perempuan,54,Ya,1,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Kota,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,40,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,42,Ya,4,1,Tidak Ada,2 atau lebih,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,150,Listrik,LPG 3Kg,Sumur bor/pompa,Ya,Ya,Laki-Laki,56,Ya,4,Tidak Ada,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,100,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,57,Tidak,5 atau lebih,Tidak Ada,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,72,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,48,Ya,5 atau lebih,2,Tidak Ada,2 atau lebih,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,160,Listrik,LPG 12kg/5.5kg/Bluegaz,Sumur bor/pompa,Ya,Ya,Laki-Laki,53,Ya,4,1,Tidak Ada,Tidak Ada,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,42,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,55,Ya,3,Tidak Ada,Tidak Ada,1,Bebas Sewa,2 atau lebih,Kota,Tidak
Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,60,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,29,Ya,3,1,Tidak Ada,1,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Ubin/tegel/teraso,Tembok/Plesteran/anyaman,96,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Tidak,Laki-Laki,69,Ya,5 atau lebih,1,1,2 atau lebih,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Lainnya,Semen/bata merah,Kayu/Papan,42,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Tidak,Perempuan,55,Ya,2,Tidak Ada,Tidak Ada,2 atau lebih,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SMP,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,84,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Perempuan,79,Tidak,1,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Kota,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Ya,Seng,Semen/bata merah,Kayu/Papan,78,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,43,Ya,5 atau lebih,1,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,Perguruan Tinggi,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,18,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Perempuan,34,Ya,3,2,Tidak Ada,Tidak Ada,Bebas Sewa,Tidak Ada,Kota,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,36,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,51,Ya,5 atau lebih,1,Tidak Ada,2 atau lebih,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,96,Listrik,LPG 12kg/5.5kg/Bluegaz,Air kemasan/isi Ulang,Tidak,Ya,Perempuan,69,Tidak,2,Tidak Ada,Tidak Ada,Tidak Ada,Kontrak/sewa,1,Kota,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,30,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Perempuan,51,Ya,4,Tidak Ada,Tidak Ada,1,Milik sendiri,2 atau lebih,Kota,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,98,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,50,Ya,4,1,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Ya
Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,46,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Perempuan,32,Ya,1,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SMP,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Kayu/Papan,48,Listrik,LPG 3Kg,Sumur bor/pompa,Tidak,Tidak,Perempuan,49,Tidak,5 atau lebih,2,Tidak Ada,Tidak Ada,Milik sendiri,1,Kota,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,64,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,66,Tidak,2,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,40,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,25,Ya,3,1,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,Tidak Sekolah,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,25,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Laki-Laki,71,Ya,2,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SMA,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,90,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Perempuan,41,Ya,5 atau lebih,3 atau lebih,Tidak Ada,Tidak Ada,Milik sendiri,2 atau lebih,Kota,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,81,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Laki-Laki,44,Ya,3,1,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Desa,Tidak
Rawan,SD,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,42,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Perempuan,60,Ya,5 atau lebih,2,Tidak Ada,Tidak Ada,Bebas Sewa,Tidak Ada,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,75,Listrik,LPG 3Kg,Lainnya,Ya,Tidak,Laki-Laki,36,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Kontrak/sewa,1,Kota,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,64,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Perempuan,65,Ya,2,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Kota,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,27,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,61,Ya,3,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,1,Desa,Tidak
Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,60,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Perempuan,53,Ya,3,Tidak Ada,Tidak Ada,2 atau lebih,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,54,Listrik,LPG 3Kg,Sumur bor/pompa,Tidak,Ya,Laki-Laki,42,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Kontrak/sewa,1,Desa,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Lainnya,144,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Tidak,Laki-Laki,38,Ya,3,1,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Kayu/Papan,168,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Perempuan,71,Tidak,4,2,Tidak Ada,Tidak Ada,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,48,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,54,Ya,2,Tidak Ada,Tidak Ada,1,Dinas,1,Kota,Ya
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Seng,Ubin/tegel/teraso,Tembok/Plesteran/anyaman,120,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,51,Ya,5 atau lebih,3 atau lebih,Tidak Ada,Tidak Ada,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,48,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,46,Ya,3,Tidak Ada,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,50,Listrik,LPG 3Kg,Sumur bor/pompa,Ya,Ya,Laki-Laki,68,Ya,2,Tidak Ada,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,20,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,32,Ya,4,2,Tidak Ada,1,Bebas Sewa,Tidak Ada,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,60,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,57,Ya,4,Tidak Ada,Tidak Ada,2 atau lebih,Milik sendiri,Tidak Ada,Desa,Tidak
Rawan,SD,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,40,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Perempuan,47,Ya,5 atau lebih,3 atau lebih,Tidak Ada,2 atau lebih,Bebas Sewa,2 atau lebih,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,60,Listrik,LPG 3Kg,Sumur bor/pompa,Tidak,Ya,Laki-Laki,53,Ya,3,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,1,Desa,Tidak
Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,36,Listrik,Kayu Bakar,Lainnya,Tidak,Tidak,Laki-Laki,46,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Kontrak/sewa,2 atau lebih,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,25,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Tidak,Laki-Laki,37,Ya,3,1,Tidak Ada,1,Bebas Sewa,1,Kota,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,72,Listrik,Minyak tanah,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,53,Ya,5 atau lebih,1,Tidak Ada,Tidak Ada,Kontrak/sewa,2 atau lebih,Kota,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,63,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,66,Ya,4,Tidak Ada,Tidak Ada,2 atau lebih,Milik sendiri,2 atau lebih,Kota,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,122,Listrik,LPG 3Kg,Leding,Ya,Ya,Laki-Laki,50,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Milik sendiri,Tidak Ada,Kota,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,24,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Laki-Laki,36,Ya,4,2,Tidak Ada,1,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,70,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Tidak,Laki-Laki,46,Ya,4,2,Tidak Ada,Tidak Ada,Bebas Sewa,1,Desa,Tidak
Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,120,Listrik,LPG 3Kg,Sumur bor/pompa,Tidak,Ya,Laki-Laki,51,Ya,4,1,Tidak Ada,1,Milik sendiri,Tidak Ada,Desa,Tidak
Rawan,SMP,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,50,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,44,Ya,4,1,Tidak Ada,1,Kontrak/sewa,Tidak Ada,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,50,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,41,Ya,4,Tidak Ada,Tidak Ada,1,Kontrak/sewa,1,Kota,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,240,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,36,Ya,4,2,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
