Status_Rawan,Pendidikan_KRT,KRT_Rawan,Penerima_Transfer,Aset_Tanah,Akses_Internet,Sakit_Namun_Tidak_Rawat_Jalan,PKH,KKS,BPNT,Bantuan_Pemda,BPJS,Jamkesda,KIP,PIP,Jenis_Atap,Jenis_Lantai,Jenis_Dinding,Luas_Lantai,Listrik,Bahan_Bakar_Masak,Sumber_Air_Minum,Air_Minum_Layak,Sanitasi_Layak,Jenis_Kelamin_KRT,Umur_KRT,Status_Bekerja_KRT,ART,ART014,Buta_Huruf,Perokok,Status_Bangunan,Tabungan,Status_Daerah,Akses_KUR
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,36,Listrik,Lainnya,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,61,Ya,4,1,Tidak Ada,1,Milik sendiri,Tidak Ada,Kota,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,81,Listrik,Kayu Bakar,Lainnya,Ya,Ya,Laki-Laki,64,Ya,5 atau lebih,2,Tidak Ada,2 atau lebih,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Ya,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,42,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,48,Ya,5 atau lebih,2,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Genteng,Marmer/Keramik,Tembok/Plesteran/anyaman,84,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Perempuan,60,Tidak,5 atau lebih,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,2 atau lebih,Desa,Tidak
Rawan,SMP,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,35,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,70,Ya,2,Tidak Ada,2 atau lebih,1,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,65,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,42,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Kontrak/sewa,2 atau lebih,Kota,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,48,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,34,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,28,Listrik,LPG 3Kg,Leding,Ya,Tidak,Laki-Laki,33,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Milik sendiri,Tidak Ada,Desa,Tidak
Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,72,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,43,Ya,4,2,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,70,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,40,Ya,5 atau lebih,3 atau lebih,Tidak Ada,Tidak Ada,Kontrak/sewa,1,Kota,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Beton,Semen/bata merah,Tembok/Plesteran/anyaman,160,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,41,Ya,5 atau lebih,3 atau lebih,Tidak Ada,Tidak Ada,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,60,Listrik,Kayu Bakar,Lainnya,Ya,Ya,Perempuan,62,Ya,2,Tidak Ada,Tidak Ada,1,Kontrak/sewa,1,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Lainnya,Marmer/Keramik,Tembok/Plesteran/anyaman,36,Listrik,Kayu Bakar,Air kemasan/isi Ulang,Tidak,Ya,Perempuan,71,Tidak,1,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Genteng,Marmer/Keramik,Tembok/Plesteran/anyaman,110,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Perempuan,46,Ya,3,Tidak Ada,Tidak Ada,1,Milik sendiri,1,Kota,Tidak
Rawan,SMA,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,120,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Laki-Laki,32,Ya,3,1,Tidak Ada,1,Bebas Sewa,1,Desa,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,160,Listrik,LPG 12kg/5.5kg/Bluegaz,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,44,Ya,4,1,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
